filename,SI-SNR,PESQ,OVRL,SIG,BAK,P808_MOS
00064_2_keyboard_loud_snr+10dB_noisy.wav,13.96,1.768,3.396,3.723,4.091,3.396
00065_2_keyboard_loud_snr+15dB_noisy.wav,15.44,1.920,3.560,3.884,4.167,3.560
00066_2_keyboard_loud_snr+20dB_noisy.wav,16.48,2.103,3.572,3.914,4.143,3.572
00067_2_keyboard_soft_snr-5dB_noisy.wav,6.31,1.525,3.209,3.500,4.084,3.209
00068_2_keyboard_soft_snr+0dB_noisy.wav,9.04,1.690,3.277,3.572,4.075,3.277
00069_2_keyboard_soft_snr+5dB_noisy.wav,11.56,1.878,3.446,3.722,4.188,3.446
00070_2_keyboard_soft_snr+10dB_noisy.wav,13.85,2.061,3.657,3.905,4.341,3.657
00071_2_keyboard_soft_snr+15dB_noisy.wav,15.60,2.310,3.767,4.010,4.394,3.767
00072_2_keyboard_soft_snr+20dB_noisy.wav,16.53,2.516,3.836,4.066,4.451,3.836
00073_3_fan_noise_level1_snr-5dB_noisy.wav,12.94,1.595,3.570,3.899,4.200,3.570
00074_3_fan_noise_level1_snr+0dB_noisy.wav,15.26,2.054,3.810,4.083,4.394,3.810
00075_3_fan_noise_level1_snr+5dB_noisy.wav,16.71,2.411,3.873,4.121,4.447,3.873
00076_3_fan_noise_level1_snr+10dB_noisy.wav,17.48,2.639,3.890,4.141,4.457,3.890
00077_3_fan_noise_level1_snr+15dB_noisy.wav,17.94,2.705,3.937,4.167,4.510,3.937
00078_3_fan_noise_level1_snr+20dB_noisy.wav,18.13,2.738,3.971,4.197,4.533,3.971
00079_3_fan_noise_level2_snr-5dB_noisy.wav,13.78,1.882,3.799,4.043,4.413,3.799
00081_3_fan_noise_level2_snr+5dB_noisy.wav,16.93,2.510,3.952,4.189,4.504,3.952
00080_3_fan_noise_level2_snr+0dB_noisy.wav,15.76,2.279,3.908,4.142,4.480,3.908
00082_3_fan_noise_level2_snr+10dB_noisy.wav,17.57,2.703,3.961,4.192,4.514,3.961
00083_3_fan_noise_level2_snr+15dB_noisy.wav,17.92,2.775,3.984,4.202,4.543,3.984
00084_3_fan_noise_level2_snr+20dB_noisy.wav,18.08,2.787,4.001,4.212,4.554,4.001
00085_3_clapping_snr-5dB_noisy.wav,10.85,1.530,2.963,3.272,3.986,2.963
00086_3_clapping_snr+0dB_noisy.wav,12.91,1.739,3.430,3.680,4.244,3.430
00087_3_clapping_snr+5dB_noisy.wav,14.66,1.961,3.653,3.896,4.358,3.653
00088_3_clapping_snr+10dB_noisy.wav,15.89,2.253,3.752,4.013,4.377,3.752
00089_3_clapping_snr+15dB_noisy.wav,16.72,2.440,3.850,4.094,4.464,3.850
00090_3_clapping_snr+20dB_noisy.wav,17.33,2.498,3.861,4.112,4.446,3.861
00091_3_door_knock_snr-5dB_noisy.wav,11.56,1.815,3.572,3.854,4.291,3.572
00092_3_door_knock_snr+0dB_noisy.wav,13.70,2.108,3.820,4.057,4.444,3.820
00093_3_door_knock_snr+5dB_noisy.wav,15.28,2.287,3.886,4.124,4.473,3.886
00094_3_door_knock_snr+10dB_noisy.wav,16.35,2.394,3.921,4.145,4.526,3.921
00095_3_door_knock_snr+15dB_noisy.wav,17.20,2.484,3.948,4.169,4.544,3.948
00096_3_door_knock_snr+20dB_noisy.wav,17.88,2.580,3.975,4.196,4.550,3.975
00097_3_keyboard_loud_snr-5dB_noisy.wav,5.60,1.159,2.259,2.565,3.635,2.259
00098_3_keyboard_loud_snr+0dB_noisy.wav,9.07,1.340,2.581,2.984,3.492,2.581
00099_3_keyboard_loud_snr+5dB_noisy.wav,12.06,1.582,3.002,3.373,3.754,3.002
00100_3_keyboard_loud_snr+10dB_noisy.wav,14.50,1.862,3.588,3.847,4.335,3.588
00101_3_keyboard_loud_snr+15dB_noisy.wav,16.36,2.180,3.724,3.959,4.397,3.724
00102_3_keyboard_loud_snr+20dB_noisy.wav,17.54,2.278,3.766,4.019,4.388,3.766
00103_3_keyboard_soft_snr-5dB_noisy.wav,5.33,1.462,3.085,3.474,3.787,3.085
00104_3_keyboard_soft_snr+0dB_noisy.wav,8.48,1.570,3.373,3.684,4.083,3.373
00105_3_keyboard_soft_snr+5dB_noisy.wav,11.72,1.750,3.529,3.850,4.132,3.529
00106_3_keyboard_soft_snr+10dB_noisy.wav,14.52,1.973,3.653,3.978,4.194,3.653
00107_3_keyboard_soft_snr+15dB_noisy.wav,16.55,2.273,3.780,4.029,4.373,3.780
00108_3_keyboard_soft_snr+20dB_noisy.wav,17.59,2.441,3.867,4.103,4.441,3.867
